year,month,SD_70,SL_70,SL_70_log10,fyear_CS,monthly_sunspots,std,observations,date,smoothed_sunspots,cycle,SD_70*10,proton_density,proton_temp,He4toprotons,proton_speed,PC1,PC2
2007,3,9.678192,84.910126,1.9289594853404237,2007.204,7.2,2.8,611,2007-03-01,21.44333333333333,24,96.78191999999999,5.840889455782313,99389.3137755102,0.026562755102040817,480.5251360544218,0.2475690768833159,-0.21682991587479886
2007,4,11.405842,87.291817,1.940973533530155,2007.288,5.4,2.4,650,2007-04-01,20.74833333333333,24,114.05842,5.647542750929368,95247.26951672863,0.032252973977695165,474.66817843866176,0.15796733915679917,0.05228472424594449
2007,5,11.259468,77.708382,1.8904678664201224,2007.371,19.5,3.3,615,2007-05-01,19.639999999999997,24,112.59468,4.637230588235294,103932.02988235294,0.04108776470588235,531.2178823529412,0.6765661915199959,0.548035931039757
2007,6,11.832168,74.711632,1.873388223236249,2007.455,21.3,3.4,607,2007-06-01,18.586666666666666,24,118.32167999999999,5.587824596774194,90049.96572580645,0.03159536290322581,452.7531653225807,-0.036930125592073065,0.018121013014166167
2007,7,9.3645405,71.25729,1.8507718549645662,2007.538,15.1,1.9,703,2007-07-01,18.376666666666665,24,93.64540500000001,5.276262548262548,96656.42258687258,0.021475868725868725,463.89615830115827,0.17168913571767655,-0.4125221269835695
2007,8,9.167399,62.445374,1.7955002710418233,2007.623,9.8,2.2,669,2007-08-01,17.9,24,91.67399,5.325690265486726,92582.36637168142,0.02289946902654867,463.5180353982301,0.1203078646603826,-0.34412620880068856
2007,9,8.737835,52.825745,1.7228456306104372,2007.707,4.0,2.1,637,2007-09-01,17.65,24,87.37835000000001,4.450164835164835,111226.51831501831,0.029113186813186812,505.5843406593406,0.6331902685703151,-0.009984322068231643
2007,10,8.832383,49.501534,1.6946186574671565,2007.79,1.5,2.4,547,2007-10-01,17.39,24,88.32383,4.221808755760369,94416.63824884793,0.03283594470046083,502.94516129032263,0.4568311441495592,0.20599298256475987
2007,11,10.459094,44.054836,1.6439935888623856,2007.874,2.8,2.5,437,2007-11-01,16.918333333333333,24,104.59094,4.126373831775701,108591.02336448598,0.024329672897196262,512.419953271028,0.701854420117769,-0.1868439694717799
2007,12,10.69684,43.920525,1.6426675227726428,2007.958,17.3,3.1,468,2007-12-01,16.118333333333332,24,106.9684,4.438397619047619,119393.10238095238,0.029215238095238096,514.9415476190477,0.7766458433167283,-0.014090927977627128
